transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,region,payment_method,shipping_cost
T1065,2022-01-02,C4808,Kitchen Knife Set,Home,3,99.99,299.97,South,Debit Card,0.0
T1066,2022-01-02,C2360,Desk Lamp,Home,2,35.88,71.77,West,Debit Card,4.99
T1067,2022-01-02,C1442,Coffee Maker,Home,1,89.99,89.99,West,Credit Card,4.99
T1068,2022-01-02,C4761,Running Shoes,Sports,1,119.99,119.99,West,PayPal,4.99
T1069,2022-01-02,C3703,Running Shoes,Sports,2,119.99,239.98,South,Gift Card,4.99
T1070,2022-01-02,C4960,Laptop Stand,Electronics,2,49.99,99.98,East,PayPal,9.99
T1071,2022-01-02,C4455,Notebook Set,Office,2,14.99,29.98,Central,PayPal,0.0
T1072,2022-01-02,C2069,Yoga Mat,Sports,2,29.99,59.98,South,PayPal,0.0
T1073,2022-01-02,C2415,Yoga Mat,Sports,1,29.99,29.99,East,Gift Card,9.99
T1074,2022-01-02,C1778,Notebook Set,Office,1,13.94,13.94,East,Credit Card,9.99
T1075,2022-01-02,C3205,Desk Lamp,Home,1,37.4,37.4,South,PayPal,4.99
T1076,2022-01-02,C4771,Yoga Mat,Sports,2,29.99,59.98,East,PayPal,9.99
T1077,2022-01-02,C2230,Yoga Mat,Sports,1,29.99,29.99,Central,PayPal,9.99
T1078,2022-01-02,C3855,Desk Lamp,Home,1,39.99,39.99,East,Debit Card,0.0
T1079,2022-01-02,C2552,Desk Lamp,Home,1,39.99,39.99,South,PayPal,4.99
T1080,2022-01-02,C2244,Notebook Set,Office,1,14.99,14.99,East,Debit Card,4.99
T1081,2022-01-02,C2319,Backpack,Office,1,59.99,59.99,West,Gift Card,4.99
T1082,2022-01-02,C2938,Bluetooth Speaker,Electronics,2,69.99,139.98,South,Credit Card,4.99
T1083,2022-01-02,C3536,Notebook Set,Office,1,14.99,14.99,East,Credit Card,0.0
T1084,2022-01-02,C4303,Bluetooth Speaker,Electronics,2,69.99,139.98,South,Debit Card,0.0
T1085,2022-01-02,C2946,Wireless Earbuds,Electronics,1,79.99,79.99,Central,Credit Card,4.99
T1086,2022-01-02,C3357,Desk Lamp,Home,1,39.99,39.99,South,Gift Card,4.99
T1087,2022-01-02,C3687,Desk Lamp,Home,2,39.99,79.98,North,Credit Card,4.99
T1088,2022-01-02,C4923,Running Shoes,Sports,2,119.99,239.98,Central,Gift Card,0.0
T1089,2022-01-02,C4474,Notebook Set,Office,1,14.99,14.99,North,Gift Card,0.0
T1090,2022-01-02,C3289,Phone Case,Electronics,2,19.99,39.98,Central,PayPal,4.99
T1091,2022-01-02,C4653,Backpack,Office,1,59.99,59.99,Central,Gift Card,9.99
T1092,2022-01-02,C4046,Phone Case,Electronics,1,19.99,19.99,,Gift Card,4.99
T1093,2022-01-02,C2135,Running Shoes,Sports,1,119.99,119.99,Central,Gift Card,9.99
T1094,2022-01-02,C1317,Running Shoes,Sports,1,119.99,119.99,East,Debit Card,4.99
T1095,2022-01-02,C3212,Water Bottle,Sports,1,24.99,24.99,North,Debit Card,0.0
T1096,2022-01-02,C1625,Running Shoes,Sports,1,119.99,119.99,South,Credit Card,4.99
T1097,2022-01-02,C2908,Desk Lamp,Home,1,39.99,39.99,West,Credit Card,0.0
T1098,2022-01-02,C4153,Desk Lamp,Home,1,39.99,39.99,Central,Credit Card,9.99
T1099,2022-01-02,C4861,Desk Lamp,Home,1,39.99,39.99,East,PayPal,4.99
T1100,2022-01-02,C4009,Desk Lamp,Home,2,39.99,79.98,Central,Debit Card,4.99
T1101,2022-01-02,C2989,Running Shoes,Sports,1,119.99,119.99,North,Gift Card,4.99
T1102,2022-01-02,C2656,Bluetooth Speaker,Electronics,1,69.99,69.99,South,Gift Card,0.0
T1103,2022-01-02,C4714,Backpack,Office,2,59.99,119.98,West,Credit Card,0.0
T1104,2022-01-02,C4550,Bluetooth Speaker,Electronics,1,69.99,69.99,West,Debit Card,0.0
T1105,2022-01-02,C1866,Laptop Stand,Electronics,1,49.99,49.99,West,PayPal,4.99
T1106,2022-01-02,C4896,Desk Lamp,Home,1,39.99,39.99,West,PayPal,0.0
T1107,2022-01-02,C4899,Phone Case,Electronics,1,17.15,17.15,East,Debit Card,9.99
T1108,2022-01-02,C3669,Yoga Mat,Sports,2,29.99,59.98,North,Credit Card,0.0
T1109,2022-01-02,C3544,Running Shoes,Sports,2,119.99,239.98,South,Debit Card,0.0
T1110,2022-01-02,C3310,Phone Case,Electronics,1,19.99,19.99,South,Gift Card,9.99
T1111,2022-01-02,C1687,Laptop Stand,Electronics,2,49.99,99.98,Central,Credit Card,0.0
T1112,2022-01-02,C2277,Laptop Stand,Electronics,2,37.75,75.5,Central,Gift Card,4.99
T1113,2022-01-02,C3425,Kitchen Knife Set,Home,1,99.99,99.99,South,Credit Card,9.99
T1114,2022-01-02,C3459,Laptop Stand,Electronics,2,49.99,99.98,North,Credit Card,4.99
T1115,2022-01-02,C2517,Notebook Set,Office,1,14.99,14.99,North,PayPal,0.0
T1116,2022-01-02,C1432,Desk Lamp,Home,2,39.99,79.98,West,PayPal,9.99
T1117,2022-01-02,C2783,Phone Case,Electronics,2,19.99,39.98,South,PayPal,9.99
T1118,2022-01-02,C2904,Notebook Set,Office,1,14.99,14.99,West,PayPal,4.99
T1119,2022-01-02,C1354,Running Shoes,Sports,1,119.99,119.99,East,Gift Card,0.0
T1120,2022-01-02,C3736,Phone Case,Electronics,1,19.99,19.99,West,PayPal,0.0
T1121,2022-01-02,C1744,Phone Case,Electronics,1,19.99,19.99,West,Debit Card,4.99
T1122,2022-01-03,C4605,Laptop Stand,Electronics,1,49.99,49.99,Central,PayPal,9.99
T1123,2022-01-03,C1782,Wireless Earbuds,Electronics,1,79.99,79.99,North,Debit Card,9.99
T1124,2022-01-03,C4105,Desk Lamp,Home,2,39.99,79.98,South,Gift Card,9.99
T1125,2022-01-03,C4247,Kitchen Knife Set,Home,1,99.99,99.99,North,Credit Card,4.99
T1126,2022-01-03,C1996,Running Shoes,Sports,1,119.99,119.99,East,PayPal,4.99
T1127,2022-01-03,C2742,Notebook Set,Office,2,14.99,29.98,Central,PayPal,4.99
T1128,2022-01-03,C2255,Kitchen Knife Set,Home,1,99.99,99.99,East,Debit Card,0.0
T1129,2022-01-03,C1489,Kitchen Knife Set,Home,3,99.99,299.97,Central,Debit Card,0.0
T1130,2022-01-03,C2132,Running Shoes,Sports,3,119.99,359.97,Central,PayPal,0.0
T1131,2022-01-03,C2478,Running Shoes,Sports,1,119.99,119.99,South,PayPal,0.0
T1132,2022-01-03,C2123,Kitchen Knife Set,Home,1,99.99,99.99,North,Credit Card,9.99
T1133,2022-01-03,C1517,Laptop Stand,Electronics,1,49.99,49.99,West,Credit Card,0.0
T1134,2022-01-03,C2960,Backpack,Office,1,59.99,59.99,West,PayPal,0.0
T1135,2022-01-03,C4529,Wireless Earbuds,Electronics,1,79.99,79.99,West,Credit Card,0.0
T1136,2022-01-03,C3363,Desk Lamp,Home,1,39.99,39.99,North,Debit Card,0.0
T1137,2022-01-03,C1348,Backpack,Office,1,59.99,59.99,South,Credit Card,9.99
T1138,2022-01-03,C4238,Desk Lamp,Home,1,39.99,39.99,Central,Debit Card,9.99
T1139,2022-01-03,C2813,Desk Lamp,Home,1,39.99,39.99,East,Gift Card,4.99
T1140,2022-01-03,C3497,Backpack,Office,2,59.99,119.98,North,Debit Card,9.99
T1141,2022-01-03,C1332,Running Shoes,Sports,1,119.99,119.99,South,Debit Card,0.0
T1142,2022-01-03,C2845,Notebook Set,Office,1,11.25,11.25,Central,Gift Card,4.99
T1143,2022-01-03,C3895,Wireless Earbuds,Electronics,1,79.99,79.99,East,Gift Card,0.0
T1144,2022-01-03,C2083,Bluetooth Speaker,Electronics,3,69.99,209.97,Central,Debit Card,4.99
T1145,2022-01-03,C3652,Yoga Mat,Sports,1,29.99,29.99,South,PayPal,0.0
T1146,2022-01-03,C3437,Yoga Mat,Sports,1,27.25,27.25,Central,PayPal,4.99
T1147,2022-01-03,C2245,Yoga Mat,Sports,2,29.99,59.98,West,PayPal,9.99
T1148,2022-01-03,C1329,Notebook Set,Office,1,14.99,14.99,Central,Credit Card,4.99
T1149,2022-01-03,C2025,Kitchen Knife Set,Home,2,99.99,199.98,North,Credit Card,0.0
T1150,2022-01-03,C3356,Bluetooth Speaker,Electronics,1,69.99,69.99,Central,Credit Card,9.99
T1151,2022-01-03,C4125,Laptop Stand,Electronics,1,49.99,49.99,South,Gift Card,9.99
T1152,2022-01-03,C2139,Bluetooth Speaker,Electronics,1,69.99,69.99,South,Gift Card,9.99
T1153,2022-01-03,C2925,Phone Case,Electronics,1,19.99,19.99,East,Gift Card,4.99
T1154,2022-01-03,C4513,Water Bottle,Sports,1,24.99,24.99,South,PayPal,4.99
T1155,2022-01-03,C3713,Kitchen Knife Set,Home,2,99.99,199.98,West,Credit Card,4.99
T1156,2022-01-03,C2324,Yoga Mat,Sports,1,29.99,29.99,North,Gift Card,9.99
T1157,2022-01-03,C3222,Wireless Earbuds,Electronics,1,79.99,79.99,West,Gift Card,0.0
T1158,2022-01-03,C3550,Running Shoes,Sports,1,119.99,119.99,West,Gift Card,0.0
T1159,2022-01-03,C1536,Running Shoes,Sports,1,119.99,119.99,East,Gift Card,9.99
T1160,2022-01-03,C3493,Phone Case,Electronics,1,18.88,18.88,South,Debit Card,4.99
T1161,2022-01-03,C1920,Notebook Set,Office,1,12.47,12.47,North,Gift Card,0.0
T1162,2022-01-03,C3041,Bluetooth Speaker,Electronics,1,69.99,69.99,East,PayPal,4.99
T1163,2022-01-03,C1998,Phone Case,Electronics,1,19.99,19.99,West,Debit Card,4.99
T1164,2022-01-03,C3081,Running Shoes,Sports,1,119.99,119.99,South,Credit Card,4.99
T1165,2022-01-03,C4226,Desk Lamp,Home,1,39.99,39.99,Central,PayPal,0.0
T1166,2022-01-03,C4430,Laptop Stand,Electronics,1,49.99,49.99,Central,Gift Card,0.0
T1167,2022-01-03,C2413,Phone Case,Electronics,1,19.99,19.99,East,Gift Card,4.99
T1168,2022-01-03,C3856,Water Bottle,Sports,2,24.99,49.98,South,Gift Card,0.0
T1169,2022-01-03,C3888,Desk Lamp,Home,1,35.95,35.95,West,Gift Card,9.99
T1170,2022-01-04,C3028,Bluetooth Speaker,Electronics,2,69.99,139.98,North,Debit Card,9.99
T1171,2022-01-04,C1411,Backpack,Office,2,59.99,119.98,West,Credit Card,9.99
T1172,2022-01-04,C4567,Phone Case,Electronics,1,15.57,15.57,South,Credit Card,4.99
T1173,2022-01-04,C3837,Laptop Stand,Electronics,1,49.99,49.99,West,Credit Card,4.99
T1174,2022-01-04,C2556,Bluetooth Speaker,Electronics,2,69.99,139.98,East,Gift Card,9.99
T1175,2022-01-04,C1961,Wireless Earbuds,Electronics,1,79.99,79.99,East,Debit Card,9.99
T1176,2022-01-04,C1403,Yoga Mat,Sports,1,29.99,29.99,North,Gift Card,0.0
T1177,2022-01-04,C1118,Kitchen Knife Set,Home,1,99.99,99.99,North,PayPal,0.0
T1178,2022-01-04,C2764,Laptop Stand,Electronics,1,49.99,49.99,South,Debit Card,9.99
T1179,2022-01-04,C4246,Desk Lamp,Home,2,39.99,79.98,South,Debit Card,0.0
T1180,2022-01-04,C2566,Yoga Mat,Sports,2,29.99,59.98,Central,Debit Card,4.99
T1181,2022-01-04,C2040,Backpack,Office,1,50.53,50.53,West,PayPal,9.99
T1182,2022-01-04,C2905,Wireless Earbuds,Electronics,1,79.99,79.99,East,Debit Card,0.0
T1183,2022-01-04,C3406,Phone Case,Electronics,1,19.99,19.99,East,Gift Card,9.99
T1184,2022-01-04,C2237,Laptop Stand,Electronics,2,49.99,99.98,South,Gift Card,4.99
T1185,2022-01-04,C3342,Yoga Mat,Sports,2,29.99,59.98,East,PayPal,9.99
T1186,2022-01-04,C2621,Laptop Stand,Electronics,2,45.79,91.58,East,Credit Card,9.99
T1187,2022-01-04,C4987,Bluetooth Speaker,Electronics,2,69.99,139.98,North,Gift Card,4.99
T1188,2022-01-04,C2443,Running Shoes,Sports,1,119.99,119.99,South,Debit Card,9.99
T1189,2022-01-04,C3952,Laptop Stand,Electronics,1,49.99,49.99,South,Credit Card,9.99
T1190,2022-01-04,C1136,Bluetooth Speaker,Electronics,1,63.53,63.53,Central,PayPal,9.99
T1191,2022-01-04,C4061,Coffee Maker,Home,2,72.8,145.61,West,Debit Card,0.0
T1192,2022-01-04,C4589,Coffee Maker,Home,1,89.99,89.99,East,PayPal,0.0
T1193,2022-01-04,C4867,Laptop Stand,Electronics,1,49.99,49.99,West,PayPal,9.99
T1194,2022-01-04,C2918,Water Bottle,Sports,1,24.99,24.99,North,Debit Card,0.0
T1195,2022-01-04,C2627,Bluetooth Speaker,Electronics,1,69.99,69.99,Central,PayPal,0.0
T1196,2022-01-04,C2862,Desk Lamp,Home,1,34.28,34.28,East,PayPal,9.99
T1197,2022-01-04,C4851,Desk Lamp,Home,1,39.99,39.99,East,Credit Card,9.99
T1198,2022-01-04,C3537,Running Shoes,Sports,1,119.99,119.99,Central,PayPal,9.99
T1199,2022-01-04,C3602,Running Shoes,Sports,1,119.99,119.99,West,PayPal,9.99
T1200,2022-01-04,C1152,Desk Lamp,Home,1,30.36,30.36,East,Gift Card,0.0
T1201,2022-01-04,C3201,Yoga Mat,Sports,1,29.99,29.99,South,Gift Card,4.99
T1202,2022-01-04,C4043,Water Bottle,Sports,2,24.99,49.98,Central,Gift Card,9.99
T1203,2022-01-04,C4626,Kitchen Knife Set,Home,1,99.99,99.99,West,Credit Card,4.99
T1204,2022-01-04,C4897,Backpack,Office,1,59.99,59.99,East,Credit Card,9.99
T1205,2022-01-04,C2821,Water Bottle,Sports,2,24.99,49.98,South,PayPal,0.0
T1206,2022-01-04,C4693,Bluetooth Speaker,Electronics,1,69.99,69.99,East,Credit Card,4.99
T1207,2022-01-04,C1500,Laptop Stand,Electronics,2,49.99,99.98,West,Credit Card,9.99
T1208,2022-01-04,C3445,Running Shoes,Sports,1,119.99,119.99,North,Credit Card,4.99
T1209,2022-01-04,C4223,Running Shoes,Sports,1,119.99,119.99,Central,Debit Card,0.0
T1210,2022-01-04,C1884,Notebook Set,Office,1,14.99,14.99,South,PayPal,0.0
T1211,2022-01-04,C1592,Backpack,Office,1,55.29,55.29,South,PayPal,0.0
T1212,2022-01-04,C1105,Yoga Mat,Sports,1,29.99,29.99,South,Credit Card,4.99
T1213,2022-01-04,C1064,Running Shoes,Sports,1,119.99,119.99,South,PayPal,0.0
T1214,2022-01-04,C3154,Coffee Maker,Home,3,89.99,269.97,North,Credit Card,4.99
T1215,2022-01-04,C3102,Phone Case,Electronics,1,19.99,19.99,Central,Credit Card,4.99
T1216,2022-01-04,C3519,Notebook Set,Office,2,14.99,29.98,North,PayPal,4.99
T1217,2022-01-05,C1249,Bluetooth Speaker,Electronics,1,69.99,69.99,West,Gift Card,4.99
T1218,2022-01-05,C2816,Bluetooth Speaker,Electronics,1,62.46,62.46,North,Credit Card,4.99
T1219,2022-01-05,C3557,Backpack,Office,1,46.51,46.51,Central,PayPal,4.99
T1220,2022-01-05,C2858,Backpack,Office,1,59.99,59.99,Central,Gift Card,0.0
T1221,2022-01-05,C4595,Kitchen Knife Set,Home,2,88.09,176.17,Central,Debit Card,4.99
T1222,2022-01-05,C2694,Phone Case,Electronics,1,19.99,19.99,East,Gift Card,4.99
T1223,2022-01-05,C2280,Desk Lamp,Home,1,39.99,39.99,West,PayPal,9.99
T1224,2022-01-05,C1625,Laptop Stand,Electronics,1,49.99,49.99,West,Credit Card,0.0
T1225,2022-01-05,C4026,Yoga Mat,Sports,1,23.07,23.07,East,Debit Card,9.99
T1226,2022-01-05,C3300,Wireless Earbuds,Electronics,2,79.99,159.98,Central,PayPal,9.99
T1227,2022-01-05,C4578,Yoga Mat,Sports,3,29.99,89.97,West,Credit Card,4.99
T1228,2022-01-05,C1424,Backpack,Office,2,59.99,119.98,Central,Debit Card,0.0
T1229,2022-01-05,C4470,Bluetooth Speaker,Electronics,1,69.99,69.99,North,PayPal,9.99
T1230,2022-01-05,C1926,Water Bottle,Sports,1,20.13,20.13,West,Credit Card,9.99
T1231,2022-01-05,C2095,Bluetooth Speaker,Electronics,2,69.99,139.98,North,Debit Card,4.99
T1232,2022-01-05,C4774,Kitchen Knife Set,Home,1,99.99,99.99,East,PayPal,0.0
T1233,2022-01-05,C3319,Coffee Maker,Home,3,89.99,269.97,West,Credit Card,0.0
T1234,2022-01-05,C1125,Kitchen Knife Set,Home,3,99.99,299.97,North,Debit Card,4.99
T1235,2022-01-05,C1644,Desk Lamp,Home,2,39.99,79.98,East,PayPal,9.99
T1236,2022-01-05,C3324,Water Bottle,Sports,1,24.99,24.99,Central,Credit Card,0.0
T1237,2022-01-05,C3530,Coffee Maker,Home,1,89.99,89.99,North,Credit Card,4.99
T1238,2022-01-05,C2989,Phone Case,Electronics,2,19.99,39.98,Central,Gift Card,4.99
T1239,2022-01-05,C3098,Laptop Stand,Electronics,1,49.99,49.99,North,PayPal,4.99
T1240,2022-01-05,C3779,Yoga Mat,Sports,1,29.99,29.99,Central,Gift Card,9.99
T1241,2022-01-05,C1903,Bluetooth Speaker,Electronics,1,69.99,69.99,West,Credit Card,0.0
T1242,2022-01-05,C1865,Running Shoes,Sports,2,119.99,239.98,South,PayPal,4.99
T1243,2022-01-05,C2763,Water Bottle,Sports,1,21.23,21.23,South,Debit Card,4.99
T1244,2022-01-05,C3049,Notebook Set,Office,1,14.99,14.99,Central,PayPal,0.0
T1245,2022-01-05,C1173,Desk Lamp,Home,1,39.99,39.99,West,Credit Card,4.99
T1246,2022-01-05,C3358,Yoga Mat,Sports,1,29.99,29.99,West,Gift Card,9.99
T1247,2022-01-05,C1471,Bluetooth Speaker,Electronics,3,69.99,209.97,West,Credit Card,4.99
T1248,2022-01-05,C3531,Coffee Maker,Home,1,89.99,89.99,West,PayPal,0.0
T1249,2022-01-05,C1996,Desk Lamp,Home,1,39.99,39.99,West,Gift Card,9.99
T1250,2022-01-05,C2270,Yoga Mat,Sports,2,29.99,59.98,East,Debit Card,4.99
T1251,2022-01-05,C3173,Coffee Maker,Home,2,78.89,157.78,Central,Debit Card,4.99
T1252,2022-01-05,C4354,Water Bottle,Sports,1,24.99,24.99,South,Debit Card,0.0
T1253,2022-01-05,C1710,Coffee Maker,Home,2,89.99,179.98,Central,Debit Card,9.99
T1254,2022-01-05,C4165,Yoga Mat,Sports,1,29.99,29.99,West,Gift Card,9.99
T1255,2022-01-05,C4785,Backpack,Office,1,59.99,59.99,Central,PayPal,9.99
T1256,2022-01-05,C1279,Water Bottle,Sports,2,24.99,49.98,West,Gift Card,9.99
T1257,2022-01-05,C3422,Laptop Stand,Electronics,2,49.99,99.98,North,PayPal,9.99
T1258,2022-01-05,C2851,Yoga Mat,Sports,2,29.99,59.98,North,Credit Card,4.99
T1259,2022-01-05,C4503,Laptop Stand,Electronics,2,46.13,92.27,North,Gift Card,4.99
T1260,2022-01-05,C4243,Backpack,Office,1,59.99,59.99,North,Gift Card,9.99
T1261,2022-01-05,C3478,Bluetooth Speaker,Electronics,1,69.99,69.99,West,Debit Card,0.0
T1262,2022-01-05,C2406,Phone Case,Electronics,2,18.59,37.17,North,Debit Card,0.0
T1263,2022-01-05,C2799,Running Shoes,Sports,1,119.99,119.99,Central,Debit Card,4.99
T1264,2022-01-05,C2586,Water Bottle,Sports,2,24.99,49.98,West,PayPal,9.99
T1265,2022-01-05,C2370,Backpack,Office,2,52.56,105.12,North,PayPal,0.0
T1266,2022-01-05,C2163,Notebook Set,Office,2,14.99,29.98,East,Debit Card,4.99
T1267,2022-01-05,C1579,Yoga Mat,Sports,1,29.99,29.99,East,PayPal,9.99
T1268,2022-01-05,C1528,Kitchen Knife Set,Home,1,99.99,99.99,Central,Credit Card,4.99
T1269,2022-01-05,C4242,Notebook Set,Office,1,14.99,14.99,East,Debit Card,9.99
T1270,2022-01-06,C4026,Kitchen Knife Set,Home,1,99.99,99.99,Central,Credit Card,9.99
T1271,2022-01-06,C2482,Bluetooth Speaker,Electronics,1,69.99,69.99,North,PayPal,4.99
T1272,2022-01-06,C2399,Coffee Maker,Home,1,89.99,89.99,West,Debit Card,0.0
T1273,2022-01-06,C2211,Coffee Maker,Home,1,89.99,89.99,North,Credit Card,9.99
T1274,2022-01-06,C3531,Water Bottle,Sports,1,24.99,24.99,South,Gift Card,0.0
T1275,2022-01-06,C3837,Coffee Maker,Home,1,89.99,89.99,Central,Debit Card,9.99
T1276,2022-01-06,C3947,Phone Case,Electronics,2,16.45,32.9,South,Gift Card,9.99
T1277,2022-01-06,C4210,Laptop Stand,Electronics,1,49.99,49.99,West,Debit Card,9.99
T1278,2022-01-06,C4312,Running Shoes,Sports,1,119.99,119.99,West,Debit Card,4.99
T1279,2022-01-06,C2804,Bluetooth Speaker,Electronics,1,69.99,69.99,West,PayPal,4.99
T1280,2022-01-06,C4957,Notebook Set,Office,2,14.99,29.98,South,Debit Card,9.99
T1281,2022-01-06,C1213,Coffee Maker,Home,1,89.99,89.99,West,PayPal,9.99
T1282,2022-01-06,C3113,Yoga Mat,Sports,1,29.99,29.99,North,PayPal,0.0
T1283,2022-01-06,C4708,Coffee Maker,Home,1,89.99,89.99,Central,Debit Card,4.99
